k,attack_type,attack_id,truth_count,precision,recall,f1,jaccard
200,Procedure,S0554,49,0.05,0.20408163265306123,0.08032128514056226,0.04184100418410042
10,Technique,T1110.004,19,0.2,0.10526315789473684,0.13793103448275862,0.07407407407407407
20,Technique,T1110.004,19,0.1,0.10526315789473684,0.10256410256410256,0.05405405405405406
30,Technique,T1110.004,19,0.1,0.15789473684210525,0.12244897959183673,0.06521739130434782
40,Technique,T1110.004,19,0.1,0.21052631578947367,0.13559322033898305,0.07272727272727272
50,Technique,T1110.004,19,0.08,0.21052631578947367,0.11594202898550725,0.06153846153846154
100,Technique,T1110.004,19,0.08,0.42105263157894735,0.13445378151260506,0.07207207207207207
150,Technique,T1110.004,19,0.06666666666666667,0.5263157894736842,0.1183431952662722,0.06289308176100629
200,Technique,T1110.004,19,0.065,0.6842105263157895,0.1187214611872146,0.06310679611650485
10,Procedure,S0560,104,0.5,0.04807692307692308,0.08771929824561403,0.045871559633027525
20,Procedure,S0560,104,0.3,0.057692307692307696,0.0967741935483871,0.05084745762711865
30,Procedure,S0560,104,0.3,0.08653846153846154,0.13432835820895522,0.072
40,Procedure,S0560,104,0.3,0.11538461538461539,0.16666666666666669,0.09090909090909091
50,Procedure,S0560,104,0.32,0.15384615384615385,0.2077922077922078,0.11594202898550725
100,Procedure,S0560,104,0.3,0.28846153846153844,0.29411764705882354,0.1724137931034483
150,Procedure,S0560,104,0.24,0.34615384615384615,0.28346456692913385,0.1651376146788991
200,Procedure,S0560,104,0.24,0.46153846153846156,0.3157894736842105,0.1875
10,Procedure,S0561,26,0.1,0.038461538461538464,0.05555555555555555,0.02857142857142857
20,Procedure,S0561,26,0.15,0.11538461538461539,0.13043478260869565,0.06976744186046512
30,Procedure,S0561,26,0.16666666666666666,0.19230769230769232,0.17857142857142855,0.09803921568627451
40,Procedure,S0561,26,0.15,0.23076923076923078,0.18181818181818185,0.1
50,Procedure,S0561,26,0.18,0.34615384615384615,0.23684210526315788,0.13432835820895522
100,Procedure,S0561,26,0.17,0.6538461538461539,0.2698412698412698,0.1559633027522936
150,Procedure,S0561,26,0.13333333333333333,0.7692307692307693,0.2272727272727273,0.1282051282051282
200,Procedure,S0561,26,0.11,0.8461538461538461,0.19469026548672566,0.10784313725490197
10,Procedure,S0668,88,0.1,0.011363636363636364,0.020408163265306124,0.010309278350515464
20,Procedure,S0668,88,0.2,0.045454545454545456,0.07407407407407407,0.038461538461538464
30,Procedure,S0668,88,0.16666666666666666,0.056818181818181816,0.08474576271186439,0.04424778761061947
40,Procedure,S0668,88,0.125,0.056818181818181816,0.078125,0.04065040650406504
50,Procedure,S0668,88,0.1,0.056818181818181816,0.07246376811594203,0.03759398496240601
100,Procedure,S0668,88,0.09,0.10227272727272728,0.09574468085106384,0.05027932960893855
150,Procedure,S0668,88,0.11333333333333333,0.19318181818181818,0.14285714285714285,0.07692307692307693
200,Procedure,S0668,88,0.125,0.2840909090909091,0.1736111111111111,0.09505703422053231
10,Tactic,TA0003,69,0.0,0.0,0.0,0.0
20,Tactic,TA0003,69,0.0,0.0,0.0,0.0
30,Tactic,TA0003,69,0.1,0.043478260869565216,0.06060606060606061,0.03125
40,Tactic,TA0003,69,0.1,0.057971014492753624,0.07339449541284403,0.0380952380952381
50,Tactic,TA0003,69,0.1,0.07246376811594203,0.08403361344537816,0.043859649122807015
100,Tactic,TA0003,69,0.1,0.14492753623188406,0.1183431952662722,0.06289308176100629
150,Tactic,TA0003,69,0.08,0.17391304347826086,0.1095890410958904,0.057971014492753624
200,Tactic,TA0003,69,0.1,0.2898550724637681,0.14869888475836432,0.08032128514056225
10,Procedure,S0467,285,0.3,0.010526315789473684,0.02033898305084746,0.010273972602739725
20,Procedure,S0467,285,0.5,0.03508771929824561,0.06557377049180328,0.03389830508474576
30,Procedure,S0467,285,0.5333333333333333,0.056140350877192984,0.1015873015873016,0.05351170568561873
40,Procedure,S0467,285,0.525,0.07368421052631578,0.1292307692307692,0.06907894736842106
50,Procedure,S0467,285,0.52,0.0912280701754386,0.15522388059701492,0.08414239482200647
100,Procedure,S0467,285,0.46,0.16140350877192983,0.23896103896103899,0.13569321533923304
